date,name_muni,rent_price,chg,acum12m
2021-05-01,São Paulo,35.34670543,-0.01716261231951876,-0.0698442705705532
2021-06-01,São Paulo,34.899366810000004,-0.01265573734689073,-0.06209670138617251
2021-07-01,São Paulo,34.95389124999999,0.00156233321644005,-0.04153204743954386
2021-08-01,São Paulo,34.95616551,6.506457274646493e-5,-0.03368384233902821
2021-09-01,São Paulo,35.08257703,0.00361628680250536,-0.01503672309561976
2021-10-01,São Paulo,35.42908294000001,0.00987686593558101,-7.98983280134169e-4
2021-11-01,São Paulo,35.97689362,0.01546217498566693,0.01571056808782955
2021-12-01,São Paulo,36.549007399999994,0.01590225621041252,0.03147530231932705
2022-01-01,São Paulo,37.4811802,0.02550473641590622,0.04678642686644752
2022-02-01,São Paulo,38.35996168999999,0.0234459396772142,0.06078545838710436
